genre,structure,temperature,mean,std,count
baseline,baseline,baseline,0.345,0.024,2
horror,linear,0.3,0.555,0.044,3
horror,linear,0.7,0.551,0.046,3
horror,linear,0.9,0.558,0.034,3
horror,nonlinear,0.3,0.605,0.032,3
horror,nonlinear,0.7,0.575,0.077,3
horror,nonlinear,0.9,0.567,0.088,3
romantic,linear,0.3,0.642,0.008,3
romantic,linear,0.7,0.568,0.096,3
romantic,linear,0.9,0.663,0.046,3
romantic,nonlinear,0.3,0.66,0.039,3
romantic,nonlinear,0.7,0.657,0.027,3
romantic,nonlinear,0.9,0.661,0.087,3
sciencefiction,linear,0.3,0.377,0.075,3
sciencefiction,linear,0.7,0.465,0.022,3
sciencefiction,linear,0.9,0.379,0.106,3
sciencefiction,nonlinear,0.3,0.389,0.107,3
sciencefiction,nonlinear,0.7,0.355,0.137,3
sciencefiction,nonlinear,0.9,0.358,0.066,3
