genre,structure,temperature,fluency_score_mean,fluency_score_std,fluency_score_count,coherence_score_mean,coherence_score_std,diversity_score_mean,diversity_score_std,emotion_score_mean,emotion_score_std,structure_score_mean,structure_score_std,overall_score_mean,overall_score_std
baseline,baseline,baseline,0.0,0.0,2,0.0,0.0,0.985,0.021,0.172,0.097,0.567,0.0,0.345,0.024
horror,linear,0.3,0.756,0.096,3,0.918,0.142,0.079,0.099,0.454,0.084,0.567,0.133,0.555,0.044
horror,linear,0.7,0.758,0.168,3,0.842,0.129,0.161,0.161,0.562,0.041,0.433,0.133,0.551,0.046
horror,linear,0.9,0.827,0.097,3,0.903,0.062,0.121,0.134,0.416,0.162,0.522,0.204,0.558,0.034
horror,nonlinear,0.3,0.802,0.045,3,0.907,0.09,0.23,0.135,0.561,0.168,0.522,0.077,0.605,0.032
horror,nonlinear,0.7,0.702,0.156,3,0.85,0.156,0.286,0.29,0.469,0.059,0.567,0.133,0.575,0.077
horror,nonlinear,0.9,0.809,0.033,3,0.909,0.098,0.188,0.218,0.408,0.058,0.522,0.204,0.567,0.088
romantic,linear,0.3,0.843,0.15,3,0.852,0.11,0.082,0.029,0.908,0.005,0.522,0.077,0.642,0.008
romantic,linear,0.7,0.619,0.137,3,0.849,0.057,0.155,0.121,0.695,0.18,0.522,0.077,0.568,0.096
romantic,linear,0.9,0.761,0.08,3,0.784,0.12,0.313,0.246,0.932,0.118,0.522,0.077,0.663,0.046
romantic,nonlinear,0.3,0.784,0.082,3,0.891,0.076,0.188,0.169,0.914,0.148,0.522,0.204,0.66,0.039
romantic,nonlinear,0.7,0.847,0.113,3,0.961,0.051,0.294,0.09,0.752,0.097,0.433,0.0,0.657,0.027
romantic,nonlinear,0.9,0.827,0.151,3,0.876,0.057,0.116,0.201,0.83,0.148,0.656,0.077,0.661,0.087
sciencefiction,linear,0.3,0.15,0.136,3,0.357,0.313,0.733,0.212,0.166,0.154,0.478,0.154,0.377,0.075
sciencefiction,linear,0.7,0.248,0.255,3,0.369,0.119,0.771,0.122,0.326,0.065,0.611,0.077,0.465,0.022
sciencefiction,linear,0.9,0.164,0.262,3,0.241,0.34,0.749,0.184,0.173,0.11,0.567,0.133,0.379,0.106
sciencefiction,nonlinear,0.3,0.374,0.221,3,0.409,0.114,0.512,0.143,0.126,0.128,0.522,0.204,0.389,0.107
sciencefiction,nonlinear,0.7,0.235,0.223,3,0.357,0.151,0.648,0.192,0.104,0.18,0.433,0.0,0.355,0.137
sciencefiction,nonlinear,0.9,0.286,0.039,3,0.316,0.151,0.521,0.092,0.189,0.183,0.478,0.077,0.358,0.066
