structure,temperature,genre,mean,std,count,min,max,range
linear,0.3,horror,-0.255,0.279,3,-0.479,0.058,0.537
linear,0.3,romantic,0.076,0.178,3,-0.044,0.281,0.325
linear,0.3,sciencefiction,0.009,0.207,3,-0.207,0.205,0.412
linear,0.7,horror,0.172,0.542,3,-0.157,0.798,0.9550000000000001
linear,0.7,romantic,-0.588,0.263,3,-0.839,-0.315,0.524
linear,0.7,sciencefiction,0.123,0.181,3,-0.008,0.33,0.338
linear,0.9,horror,-0.22,0.251,3,-0.444,0.051,0.495
linear,0.9,romantic,0.437,0.377,3,0.024,0.764,0.74
linear,0.9,sciencefiction,-0.186,0.326,3,-0.546,0.088,0.634
nonlinear,0.3,horror,-0.141,0.248,3,-0.395,0.102,0.497
nonlinear,0.3,romantic,0.411,0.085,3,0.314,0.463,0.14900000000000002
nonlinear,0.3,sciencefiction,-0.048,0.199,3,-0.267,0.122,0.389
nonlinear,0.7,horror,0.279,0.468,3,-0.004,0.819,0.823
nonlinear,0.7,romantic,0.148,0.161,3,-0.002,0.318,0.32
nonlinear,0.7,sciencefiction,-0.016,0.732,3,-0.542,0.82,1.362
nonlinear,0.9,horror,0.007,0.18,3,-0.193,0.156,0.349
nonlinear,0.9,romantic,0.169,0.408,3,-0.078,0.64,0.718
nonlinear,0.9,sciencefiction,-0.378,0.248,3,-0.652,-0.167,0.485
