Rank,story_id,structure,temperature,genre,seed,equal_score,dimension_score,pca_score,distinct_avg,avg_semantic_continuity,pseudo_ppl,tp_completion_rate,Config
1,horror_nonlinear_T0.7_s2,nonlinear,0.7,horror,2,0.8046580104457479,0.8177999683958014,0.9769147749569195,0.6581303696303696,0.4018,2.06280966408656,1.0,non_T0.7
2,romantic_nonlinear_T0.9_s2,nonlinear,0.9,romantic,2,0.7673955742229541,0.7937074705807041,0.9912068531292091,0.6363408535908537,0.4318,2.1596792981124935,1.0,non_T0.9
3,horror_nonlinear_T0.9_s2,nonlinear,0.9,horror,2,0.7630333163832574,0.7759782502671605,0.9520819009964117,0.6430720945720946,0.434,2.15822428020309,1.0,non_T0.9
4,romantic_nonlinear_T0.3_s2,nonlinear,0.3,romantic,2,0.7512287977118943,0.7680780938816058,0.9569771030209379,0.6389748712825636,0.4167,2.244212835287214,1.0,non_T0.3
5,romantic_linear_T0.9_s3,linear,0.9,romantic,3,0.7401813047104271,0.7463437539977095,0.9098090732689393,0.6563743756243756,0.3986,2.235748801763281,1.0,lin_T0.9
6,sciencefiction_nonlinear_T0.7_s2,nonlinear,0.7,sciencefiction,2,0.7291511197942359,0.7380757627911414,0.897593981580718,0.6733632367632368,0.3794,2.4722991539256904,1.0,non_T0.7
7,horror_linear_T0.9_s2,linear,0.9,horror,2,0.724279531547625,0.7354906533414776,0.9311319490620794,0.6298240687883545,0.4227,2.224323357863916,1.0,lin_T0.9
8,sciencefiction_linear_T0.7_s2,linear,0.7,sciencefiction,2,0.7232470377732607,0.7143997032145344,0.8752720255715157,0.661714701964702,0.3714,2.759148154542961,1.0,lin_T0.7
9,sciencefiction_nonlinear_T0.3_s1,nonlinear,0.3,sciencefiction,1,0.7224377197199795,0.7307614677857087,0.9303108293339017,0.6365771894771894,0.3831,2.3940484973262675,1.0,non_T0.3
10,horror_nonlinear_T0.3_s3,nonlinear,0.3,horror,3,0.7198490659411921,0.7334613025514544,0.9326638055074533,0.6346927617836708,0.4276,2.0807592477878436,1.0,non_T0.3
11,romantic_linear_T0.9_s2,linear,0.9,romantic,2,0.7194576112113663,0.752219468566244,0.9838897433639805,0.6178798487227058,0.4213,1.9366192110806888,1.0,lin_T0.9
12,romantic_nonlinear_T0.9_s3,nonlinear,0.9,romantic,3,0.718661814850342,0.7391284854577169,0.9781796558411106,0.6073103827990192,0.4191,1.9103913677954631,1.0,non_T0.9
13,sciencefiction_linear_T0.7_s1,linear,0.7,sciencefiction,1,0.7155855452867701,0.6979506656979838,0.8566985407424905,0.6661147314224236,0.352,2.4539224772288892,1.0,lin_T0.7
14,romantic_linear_T0.3_s2,linear,0.3,romantic,2,0.712192168959923,0.7431508410299148,0.9670631531277855,0.6143471265576529,0.4331,1.8575056594936108,1.0,lin_T0.3
15,horror_linear_T0.3_s3,linear,0.3,horror,3,0.7119764382795317,0.7388095662199229,0.9719610796315642,0.6120989879685532,0.4439,2.197009525031475,1.0,lin_T0.3
16,horror_linear_T0.7_s2,linear,0.7,horror,2,0.7115702088374614,0.7462511221428307,0.9687820967900918,0.6357834665334665,0.404,2.134498811404967,1.0,lin_T0.7
17,romantic_nonlinear_T0.3_s1,nonlinear,0.3,romantic,1,0.711137231089354,0.7449918714428768,0.9819858735550037,0.6173942557442558,0.4329,2.062261098662433,1.0,non_T0.3
18,romantic_nonlinear_T0.7_s3,nonlinear,0.7,romantic,3,0.7104409917392566,0.7361848285172663,0.9475766187052549,0.6341015708429503,0.4278,1.9666523362257775,1.0,non_T0.7
19,sciencefiction_linear_T0.3_s1,linear,0.3,sciencefiction,1,0.7096786239242803,0.7329685849452533,0.9290230255158155,0.6529705849705849,0.4047,2.814863811325673,1.0,lin_T0.3
20,horror_nonlinear_T0.3_s1,nonlinear,0.3,horror,1,0.7079992549878524,0.7491200565212939,0.99972394458386,0.6149819763569764,0.4404,2.179942056886072,1.0,non_T0.3
21,sciencefiction_nonlinear_T0.3_s3,nonlinear,0.3,sciencefiction,3,0.7073980132517749,0.7105797323345393,0.8934311885765143,0.6539012237762237,0.3744,2.5424727312480746,1.0,non_T0.3
22,sciencefiction_linear_T0.7_s3,linear,0.7,sciencefiction,3,0.7044083370484691,0.6997792157994027,0.7837290333229858,0.6821974900099901,0.378,2.8527149767266904,1.0,lin_T0.7
23,horror_linear_T0.7_s3,linear,0.7,horror,3,0.7024706519358898,0.7318592634398998,0.9728144742875221,0.6100341832080963,0.4291,1.8927958444639537,1.0,lin_T0.7
24,horror_linear_T0.9_s1,linear,0.9,horror,1,0.6991198889936703,0.7406676098342133,1.0,0.6063644310235219,0.436,2.0515788879074717,1.0,lin_T0.9
25,sciencefiction_linear_T0.9_s1,linear,0.9,sciencefiction,1,0.6985585261628362,0.6502802342687192,0.7820207892278415,0.6864564435564435,0.296,3.1093842329184818,1.0,lin_T0.9
26,sciencefiction_linear_T0.9_s3,linear,0.9,sciencefiction,3,0.6967956329226139,0.7040461391208022,0.8883719842943733,0.6590618131868131,0.3968,2.5008221883856296,1.0,lin_T0.9
27,horror_nonlinear_T0.9_s1,nonlinear,0.9,horror,1,0.6964709502866365,0.72104766809362,0.9583542158136035,0.6109877430262045,0.4157,1.897553356866042,1.0,non_T0.9
28,romantic_nonlinear_T0.7_s1,nonlinear,0.7,romantic,1,0.6939090180022109,0.7229692731104973,0.9483526011032247,0.6242636807636808,0.4371,1.956100138856733,1.0,non_T0.7
29,romantic_linear_T0.3_s1,linear,0.3,romantic,1,0.6933527491294145,0.7105240752604879,0.9468362585756778,0.6139569030969032,0.4086,1.9272096581743696,1.0,lin_T0.3
30,sciencefiction_linear_T0.3_s2,linear,0.3,sciencefiction,2,0.6894975436481543,0.6766113327426,0.8439452427616121,0.6626661338661339,0.3578,2.7244728907924203,1.0,lin_T0.3
31,romantic_nonlinear_T0.7_s2,nonlinear,0.7,romantic,2,0.6883339583990561,0.7097908288662609,0.9082402031772315,0.6378182442557443,0.4386,2.211808195409589,1.0,non_T0.7
32,horror_nonlinear_T0.7_s3,nonlinear,0.7,horror,3,0.6829550060925548,0.72458207507687,0.980827489210803,0.6129849674135389,0.4351,2.4094205744672843,1.0,non_T0.7
33,romantic_linear_T0.7_s3,linear,0.7,romantic,3,0.6818469412984485,0.6816308890704347,0.8835969359686776,0.6292159840159841,0.4289,2.1742286607955355,1.0,lin_T0.7
