structure,temperature,dimension,mean,ci95_low,ci95_high,n
baseline,0.7,Fluency,-2.039752376391161,-2.8646959169553585,-1.3876710979326354,3
baseline,0.7,Diversity,1.18842972060673,0.6122334045923877,2.2471954054966026,3
baseline,0.7,Coherence,0.24896827013313486,0.09049301102858842,0.464160622943506,3
baseline,0.7,Emotion,0.3873387981227733,-0.7582863346269809,1.4051235094266452,3
baseline,0.7,Structure,-0.3139814136414855,-0.5311623055839665,-0.047764164352626204,3
baseline,0.7,Cost,1.7356931285840647,1.7167331571041238,1.753673202150635,3
linear,0.3,Fluency,0.12276901160759807,-0.238965242198716,0.43381314562678985,9
linear,0.3,Diversity,-0.3528775258077816,-0.8822258769250192,0.20650549471967142,9
linear,0.3,Coherence,0.18381096417680606,-0.21235075101132503,0.5319372102278775,9
linear,0.3,Emotion,-0.20729553817380936,-0.5859834142241308,0.18600697138098368,9
linear,0.3,Structure,0.0658717995220986,-0.3253630187945714,0.3740441768119333,9
linear,0.3,Cost,-0.11202179805095364,-0.5244172419265175,0.3140057979757616,9
linear,0.7,Fluency,-0.00809754472157272,-0.39436205449580003,0.28540224287492977,9
linear,0.7,Diversity,-0.07724713406705203,-0.720354202849142,0.6272629217067794,9
linear,0.7,Coherence,-0.07117938994836522,-0.38739579749941944,0.2299042619833036,9
linear,0.7,Emotion,0.14684846721040212,-0.3300351417534505,0.5237496351399409,9
linear,0.7,Structure,0.0013594808814850375,-0.5482228181253685,0.5423391668689663,9
linear,0.7,Cost,-0.05279987602223163,-0.5591499579675688,0.4080605688155452,9
linear,0.9,Fluency,0.03517788282792802,-0.3692621364735811,0.366078029906557,9
linear,0.9,Diversity,0.1173106637927673,-0.4509149679039108,0.6439202474445139,9
linear,0.9,Coherence,-0.05533035664701012,-0.3834258661655466,0.22760956641237226,9
linear,0.9,Emotion,0.07634763680621091,-0.35662760071843114,0.48394492313186116,9
linear,0.9,Structure,0.19551466394802558,-0.16112291588480535,0.56321222369043,9
linear,0.9,Cost,-0.0495179021690454,-0.7626463149995308,0.5492868983910308,9
nonlinear,0.3,Fluency,0.16887577309292157,-0.12272751796816612,0.3921391888144077,9
nonlinear,0.3,Diversity,-0.0849684779253611,-0.49910125857290427,0.3138701171540931,9
nonlinear,0.3,Coherence,-0.09842821789092045,-0.3916824330927473,0.1864545451641351,9
nonlinear,0.3,Emotion,0.08417068273334635,-0.2512340999974875,0.42999381776998596,9
nonlinear,0.3,Structure,0.05334166510398128,-0.7085653036204694,0.665052148833491,9
nonlinear,0.3,Cost,0.0618649860746858,-0.23485084756987562,0.3518621488742153,9
nonlinear,0.7,Fluency,0.16503371930004324,-0.08866831618020113,0.40459191306464604,9
nonlinear,0.7,Diversity,0.430321775338834,0.04568837032579443,0.8720796275304998,9
nonlinear,0.7,Coherence,-0.01751771935673094,-0.23576657383785593,0.1681707301787758,9
nonlinear,0.7,Emotion,-0.1607541583956431,-0.8212123733521355,0.46537632957711816,9
nonlinear,0.7,Structure,-0.20189594723401277,-0.5786253600577144,0.13118971276997918,9
nonlinear,0.7,Cost,-0.05954029562864989,-0.5280128664183112,0.4315985874979222,9
nonlinear,0.9,Fluency,0.18365398276397363,-0.15568310974873753,0.4620126513201294,9
nonlinear,0.9,Diversity,-0.3042948128506184,-0.4562542229174897,-0.1330170324950311,9
nonlinear,0.9,Coherence,-0.018331519689633827,-0.3551900135698585,0.2526698422661964,9
nonlinear,0.9,Emotion,-0.05850941576028427,-0.603057285453342,0.5165635146861426,9
nonlinear,0.9,Structure,-0.01404516643852182,-0.6082717543580738,0.5833474388436636,9
nonlinear,0.9,Cost,-0.40608087237474083,-1.0455704130411825,0.18753157121169048,9
