metric,structure,temperature,mean,std,count,ci95
pseudo_ppl,baseline,0.7,2.6556635041639685,1.0689821593477549,3,1.209667189418334
pseudo_ppl,linear,0.3,2.2453118175700606,0.33457707795623803,9,0.21859035759807552
pseudo_ppl,linear,0.7,2.38535520745901,0.3007750575303924,9,0.19650637091985637
pseudo_ppl,linear,0.9,2.365092201352034,0.42164642853288886,9,0.2754756666414874
pseudo_ppl,nonlinear,0.3,2.293024012638701,0.2687951739719585,9,0.1756128469950129
pseudo_ppl,nonlinear,0.7,2.268706107266774,0.29614375638256635,9,0.19348058750327668
pseudo_ppl,nonlinear,0.9,2.2571476841227067,0.3182437381501739,9,0.20791924225811362
err_per_100w,baseline,0.7,3.9599999999999995,3.533227985850899,3,3.9982238523290983
err_per_100w,linear,0.3,0.4037125669346324,0.6165137497059362,9,0.40278898314121164
err_per_100w,linear,0.7,0.2957815119918964,0.4099786380558426,9,0.2678527101964839
err_per_100w,linear,0.9,0.2511845682236187,0.21431688984877623,9,0.1400203680345338
err_per_100w,nonlinear,0.3,0.17765868769895402,0.11090499692726306,9,0.07245793132581187
err_per_100w,nonlinear,0.7,0.25838034480578914,0.22019517329261382,9,0.14386084655117437
err_per_100w,nonlinear,0.9,0.25957900979347714,0.20474753394772927,9,0.13376838884584977
distinct_avg,baseline,0.7,0.6745359529359529,0.02812085335472327,3,0.03182174121821529
distinct_avg,linear,0.3,0.6330281755728683,0.02835808153671887,9,0.018527279937322994
distinct_avg,linear,0.7,0.6377364893843193,0.026065817362482462,9,0.01702966734348854
distinct_avg,linear,0.9,0.6400124350147577,0.026413262983732318,9,0.017256665149371783
distinct_avg,nonlinear,0.3,0.6335577030939793,0.01585037725758313,9,0.010355579808287645
distinct_avg,nonlinear,0.7,0.6414218835423696,0.020299686551810282,9,0.013262461880516052
distinct_avg,nonlinear,0.9,0.6297304084080224,0.020153065282175277,9,0.013166669317687849
diversity_group_score,baseline,0.7,0.7722166722166722,0.1972722269603497,3,0.2232345397448219
diversity_group_score,linear,0.3,0.348166167603159,0.24171915881187275,9,0.1579231837570902
diversity_group_score,linear,0.7,0.5378167521336518,0.3178747203131525,9,0.20767815060459296
diversity_group_score,linear,0.9,0.5617238997378701,0.33372425205707157,9,0.2180331780106201
diversity_group_score,nonlinear,0.3,0.5052272653519431,0.29544207363896885,9,0.19302215477745965
diversity_group_score,nonlinear,0.7,0.7626279468158319,0.15221918125704148,9,0.09944986508793377
diversity_group_score,nonlinear,0.9,0.3755598584017237,0.25820040080727985,9,0.16869092852742285
self_bleu_group,linear,0.3,0.13715583775282625,0.05076340605276222,9,0.033165425287804653
self_bleu_group,linear,0.7,0.1404383872879858,0.0802350153562073,9,0.05242021003272211
self_bleu_group,linear,0.9,0.12223027538779535,0.04745143991573712,9,0.03100160741161492
self_bleu_group,nonlinear,0.3,0.1282909326148917,0.05051851925743139,9,0.03300543258152184
self_bleu_group,nonlinear,0.7,0.10864474029439303,0.05673292424496292,9,0.03706551050670911
self_bleu_group,nonlinear,0.9,0.12950811473353868,0.030789273171396892,9,0.0201156584719793
avg_semantic_continuity,baseline,0.7,0.2586267912506044,0.023641600116019398,3,0.026752989014472282
avg_semantic_continuity,linear,0.3,0.40652222222222223,0.03723022219171468,9,0.02432374516525359
avg_semantic_continuity,linear,0.7,0.40326666666666666,0.0290613144919496,9,0.01898672546807374
avg_semantic_continuity,linear,0.9,0.39507777777777775,0.04764086422856377,9,0.031125364629328328
avg_semantic_continuity,nonlinear,0.3,0.40903333333333336,0.029592017504725846,9,0.019333451436420884
avg_semantic_continuity,nonlinear,0.7,0.4074,0.03413465980495486,9,0.022301311072570506
avg_semantic_continuity,nonlinear,0.9,0.40484444444444445,0.034556479533913456,9,0.022576899962156793
semantic_continuity_std,baseline,0.7,0.12208461259719998,0.0054170924852852435,3,0.006130017217024887
semantic_continuity_std,linear,0.3,0.16789463466766205,0.0100863748911331,9,0.006589764928873625
semantic_continuity_std,linear,0.7,0.17382332413157187,0.011379384882327752,9,0.007434531456454131
semantic_continuity_std,linear,0.9,0.1709947205463092,0.005012059586621771,9,0.0032745455965928908
semantic_continuity_std,nonlinear,0.3,0.1761830477490099,0.00812924060553415,9,0.005311103862282311
semantic_continuity_std,nonlinear,0.7,0.17311989531222152,0.003821947412973098,9,0.002497005643142424
semantic_continuity_std,nonlinear,0.9,0.1726584446904834,0.008353253853454446,9,0.0054574591842569044
roberta_avg_score,baseline,0.7,0.16920853391157112,0.367082362629769,3,0.4153927977229595
roberta_avg_score,linear,0.3,0.14816139669451345,0.2754665864933639,9,0.17997150317566443
roberta_avg_score,linear,0.7,0.1632082350402282,0.1551149546232672,9,0.1013417703538679
roberta_avg_score,linear,0.9,0.15017604023346526,0.2969909169903674,9,0.19403406576704002
roberta_avg_score,nonlinear,0.3,0.16855813061190433,0.2998738014116104,9,0.19591755025558547
roberta_avg_score,nonlinear,0.7,0.0870587515339232,0.2564332757337437,9,0.16753640681271253
roberta_avg_score,nonlinear,0.9,0.11104723952105251,0.269693507319344,9,0.17619975811530475
emotion_correlation,baseline,0.7,0.5765,0.3149423280538835,3,0.35639079424698944
emotion_correlation,linear,0.3,0.12794910737084264,0.19922719102615205,9,0.13016176480375266
emotion_correlation,linear,0.7,0.3812018847223251,0.39220659639489647,9,0.25624164297799906
emotion_correlation,linear,0.9,0.35110476186772216,0.36658972875395235,9,0.2395052894525822
emotion_correlation,nonlinear,0.3,0.3222399799352393,0.4520880328321798,9,0.2953641814503575
emotion_correlation,nonlinear,0.7,0.25672586651165485,0.5668513378071192,9,0.3703428740339845
emotion_correlation,nonlinear,0.9,0.29752729316137966,0.35567128360052125,9,0.2323719052856739
classification_agreement,baseline,0.7,0.6666666666666666,0.5773502691896258,3,0.6533333333333334
classification_agreement,linear,0.3,0.5555555555555556,0.5270462766947299,9,0.3443369007738902
classification_agreement,linear,0.7,0.4444444444444444,0.5270462766947299,9,0.3443369007738902
classification_agreement,linear,0.9,0.2222222222222222,0.44095855184409843,9,0.2880929205381443
classification_agreement,nonlinear,0.3,0.2222222222222222,0.44095855184409843,9,0.2880929205381443
classification_agreement,nonlinear,0.7,0.3333333333333333,0.5,9,0.32666666666666666
classification_agreement,nonlinear,0.9,0.4444444444444444,0.5270462766947299,9,0.3443369007738902
li_function_diversity,baseline,0.7,9.333333333333334,0.5773502691896255,3,0.6533333333333331
li_function_diversity,linear,0.3,8.666666666666666,0.8660254037844385,9,0.5658032638058331
li_function_diversity,linear,0.7,8.666666666666666,0.8660254037844386,9,0.5658032638058332
li_function_diversity,linear,0.9,8.777777777777779,0.97182531580755,9,0.634925872994266
li_function_diversity,nonlinear,0.3,8.444444444444445,1.5898986690282426,9,1.0387337970984518
li_function_diversity,nonlinear,0.7,8.333333333333334,0.7071067811865475,9,0.46197643037521097
li_function_diversity,nonlinear,0.9,8.777777777777779,1.3017082793177754,9,0.8504494091542799
total_events,baseline,0.7,27.333333333333332,5.773502691896257,3,6.533333333333333
total_events,linear,0.3,66.11111111111111,26.638526819460402,9,17.403837522047464
total_events,linear,0.7,62.0,29.012928152808016,9,18.95511305983457
total_events,linear,0.9,70.11111111111111,29.968501983100712,9,19.5794212956258
total_events,nonlinear,0.3,71.33333333333333,27.331300737432894,9,17.856449815122822
total_events,nonlinear,0.7,60.22222222222222,32.61432882100204,9,21.308028163054665
total_events,nonlinear,0.9,59.44444444444444,23.911875245947936,9,15.622425160685985
chapter_count,baseline,0.7,14.0,8.717797887081348,3,9.865116995420447
chapter_count,linear,0.3,6.888888888888889,0.6009252125773316,9,0.39260447221718997
chapter_count,linear,0.7,7.333333333333333,1.224744871391589,9,0.8001666493091714
chapter_count,linear,0.9,6.888888888888889,1.0540925533894598,9,0.6886738015477804
chapter_count,nonlinear,0.3,6.777777777777778,0.8333333333333334,9,0.5444444444444445
chapter_count,nonlinear,0.7,6.555555555555555,1.130388330520878,9,0.7385203759403068
chapter_count,nonlinear,0.9,6.888888888888889,1.1666666666666667,9,0.7622222222222222
tokens_total,baseline,0.7,3379.6666666666665,710.9235777025075,3,804.4857611611974
tokens_total,linear,0.3,83341.77777777778,29677.182256650383,9,19389.09240767825
tokens_total,linear,0.7,76949.66666666667,34601.98985968871,9,22606.63337499662
tokens_total,linear,0.9,68916.11111111111,34538.02961390692,9,22564.84601441919
tokens_total,nonlinear,0.3,74781.11111111111,21428.665599171385,9,14000.061524791972
tokens_total,nonlinear,0.7,79524.55555555556,34931.68854389632,9,22822.036515345597
tokens_total,nonlinear,0.9,96220.66666666667,43281.04787028614,9,28276.951275253607
cost_usd,baseline,0.7,0.052046866666666636,0.010948223096618569,3,0.012389080721882386
cost_usd,linear,0.3,1.2576911111111113,0.4219799323855474,9,0.2756935558252243
cost_usd,linear,0.7,1.1895544444444444,0.5034150345418555,9,0.3288978225673456
cost_usd,linear,0.9,1.067318888888889,0.5018990252641569,9,0.3279073631725825
cost_usd,nonlinear,0.3,1.1652377777777778,0.32170871362063624,9,0.21018302623214902
cost_usd,nonlinear,0.7,1.2324744444444442,0.5196929555062082,9,0.33953273093072267
cost_usd,nonlinear,0.9,1.4576711111111111,0.6240866064386505,9,0.4077365828732517
wall_time_sec,baseline,0.7,56.666666666666664,7.6376261582597325,3,8.642787616144329
wall_time_sec,linear,0.3,572.3727578851912,218.44013542268942,9,142.71422180949043
wall_time_sec,linear,0.7,633.689178387324,298.0084564703564,9,194.69885822729952
wall_time_sec,linear,0.9,869.106083949407,1093.9795058475468,9,714.7332771537306
wall_time_sec,nonlinear,0.3,525.5177957216898,145.85348102609623,9,95.29094093704954
wall_time_sec,nonlinear,0.7,563.6978523466322,235.54335125194092,9,153.88832281793472
wall_time_sec,nonlinear,0.9,647.1694458060795,289.2239447147863,9,188.95964388032704
