config_name,test_type,genre,structure,temperature,seed,roberta_avg_score,reagan_classification,correlation_coefficient,hred_avg_coherence,total_sentences,tp_coverage,li_function_diversity,total_events,total_words,chapter_count,sentence_count
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3,regression,sciencefiction,nonlinear,0.9,3,-0.3554539732138316,Cinderella,0.3229,0.3413,392,5/5,8,53,6515,5,385
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2,regression,sciencefiction,linear,0.9,2,-0.19772775931593342,Icarus,0.7187,0.3359,458,5/5,9,47,7484,8,451
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2,regression,sciencefiction,nonlinear,0.9,2,0.03053181284949894,Oedipus,0.5415,0.3705,413,5/5,8,56,7366,7,403
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3,regression,sciencefiction,linear,0.9,3,-0.02638757009526867,Man in a hole,0.5423,0.3968,347,5/5,8,77,6552,7,344
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2,regression,sciencefiction,nonlinear,0.7,2,-0.014202529650468096,Cinderella,0.0074,0.3794,158,5/5,8,20,2928,6,155
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3,regression,sciencefiction,nonlinear,0.3,3,-0.17119088729222617,Man in a hole,0.48,0.3744,248,5/5,9,50,4337,5,243
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2,regression,sciencefiction,linear,0.3,2,0.011059040319289535,Oedipus,0.3326,0.3578,324,5/5,9,33,5285,7,316
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,regression,sciencefiction,linear,0.7,3,-0.056664814154307054,Oedipus,-0.5888,0.378,233,5/5,9,48,4241,5,229
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2,regression,sciencefiction,nonlinear,0.3,2,-0.2682599780105409,Cinderella,0.3471,0.3576,391,5/5,5,51,7211,7,380
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3,regression,sciencefiction,nonlinear,0.7,3,-0.3165029748177632,Icarus,0.2952,0.3714,548,5/5,8,91,9758,7,535
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2,regression,sciencefiction,linear,0.7,2,0.05031596195130121,Oedipus,0.7048,0.3714,570,5/5,10,89,9915,7,559
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3,regression,sciencefiction,linear,0.3,3,-0.18918961147209265,Icarus,-0.1349,0.3349,279,5/5,7,42,4545,7,273
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1,regression,sciencefiction,linear,0.9,1,-0.15938412974278132,Icarus,-0.3127,0.296,191,5/5,10,30,3088,5,188
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1,regression,sciencefiction,nonlinear,0.9,1,-0.10521145746821448,Icarus,-0.1829,0.3715,833,5/5,9,91,14947,6,814
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1,regression,sciencefiction,linear,0.3,1,-0.22253685992546182,Oedipus,0.0088,0.4047,532,5/5,9,71,9935,6,526
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1,regression,sciencefiction,nonlinear,0.7,1,-0.27313730102596856,Man in a hole,-0.6239,0.3465,639,5/5,8,32,11152,7,624
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1,regression,sciencefiction,linear,0.7,1,0.0003653511404991122,Man in a hole,0.3124,0.352,431,5/5,9,78,7312,8,423
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1,regression,sciencefiction,nonlinear,0.3,1,-0.05791825510206677,Oedipus,0.8883,0.3831,452,5/5,10,72,8263,7,443
thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s3,horror,horror,linear,0.9,3,0.10218777296443782,Oedipus,0.0818,0.4252,380,5/5,7,73,7352,8,376
thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s2,horror,horror,linear,0.9,2,-0.07331351312724026,Man in a hole,0.5683,0.4227,415,5/5,10,65,7611,6,409
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.9_s1,horror,horror,nonlinear,0.9,1,0.043910538261899584,Oedipus,-0.2027,0.4157,365,5/5,9,38,6850,8,356
thelittleredridinghood_horror-suspenserewrite_linear_T0.3_s3,horror,horror,linear,0.3,3,0.14356324871381124,Tragedy,0.0204,0.4439,628,5/5,10,42,12488,7,622
