Role,伊莎贝尔,凯瑟琳,凯瑟琳,凯瑟琳,凯瑟琳,凯瑟琳,凯瑟琳,凯瑟琳,凯瑟琳,凯瑟琳,塞巴斯蒂安,塞巴斯蒂安,奥利弗,奥利弗,奥利弗,奥利弗,奥利弗,奥利弗,奥利弗,奥利弗,奥利弗,安娜,安娜,艾利克斯,艾利克斯,艾利克斯,艾利克斯,艾利克斯,艾米丽,艾米丽,艾米丽,艾米丽,艾米丽,艾米丽,艾米丽,艾米丽,莉亚,莉亚,莉亚,莉亚,莉亚,莉亚,诺亚,诺亚,诺亚,诺亚,诺亚,雷欧,雷欧,雷欧,雷欧,雷欧,雷欧,雷欧,雷欧,雷欧,雷欧,雷欧,马克,马克,马克,马克,马克,马克,马克,马克,马克,马克
State,谈判,专注,冷静,分析,应对,建议,理性,警惕,警觉,谨慎,专注,追求精确,创新,技术,技术导向,支持,细致,自信,警惕,谨慎,负责,专注,细致,主动,冷静,果断,紧迫感,领导,人道,人道关怀,保护意识,关心,关怀,支持,谨慎,负责,井然有序,准备,可靠,支持,组织,负责,关注,建议,担忧,策略性,谨慎,主动,战略,支持,潜伏,积极,策略,紧迫,观察,警惕,警觉,谨慎,关切,准备,务实,坚定,执行,积极,自信,行动导向,谨慎,进攻倾向
Chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Chapter 10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Chapter 11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chapter 3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Chapter 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chapter 6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Chapter 7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Chapter 8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chapter 9,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
