dimension,story_id,consistency,n_raters,quality
Coherence,baseline,0.5736235255365346,20,Fair
Coherence,linear_T0.3_s1,0.6192262210051181,4,Good
Coherence,linear_T0.3_s2,0.7101020514433644,3,Good
Coherence,linear_T0.3_s3,0.615911621788925,3,Good
Coherence,linear_T0.7_s1,1.0,3,Good
Coherence,linear_T0.7_s2,0.6339745962155614,3,Good
Coherence,linear_T0.7_s3,1.0,4,Good
Coherence,linear_T0.9_s1,0.5975013513579107,3,Fair
Coherence,linear_T0.9_s2,0.6483412829195451,3,Good
Coherence,linear_T0.9_s3,0.8417948353672201,4,Good
Coherence,nonlinear_T0.3_s1,0.8092564301694538,3,Good
Coherence,nonlinear_T0.3_s2,0.5714285714285714,4,Fair
Coherence,nonlinear_T0.3_s3,0.8092564301694538,3,Good
Coherence,nonlinear_T0.7_s1,0.8024503740440013,3,Good
Coherence,nonlinear_T0.7_s2,0.8104610879332055,4,Good
Coherence,nonlinear_T0.7_s3,0.8024503740440013,3,Good
Coherence,nonlinear_T0.9_s1,0.7629271866711608,4,Good
Coherence,nonlinear_T0.9_s2,0.8821670017449581,3,Good
Coherence,nonlinear_T0.9_s3,0.9160450850994739,3,Good
Emotional Development,baseline,0.626423571979434,20,Good
Emotional Development,linear_T0.3_s1,0.5398444886079367,4,Fair
Emotional Development,linear_T0.3_s2,0.6339745962155614,3,Good
Emotional Development,linear_T0.3_s3,0.4364916731037085,3,Fair
Emotional Development,linear_T0.7_s1,0.898786914065848,3,Good
Emotional Development,linear_T0.7_s2,0.6230619916358626,3,Good
Emotional Development,linear_T0.7_s3,0.6533419040668049,4,Good
Emotional Development,linear_T0.9_s1,0.6082908025896812,3,Good
Emotional Development,linear_T0.9_s2,0.5729490168751578,3,Fair
Emotional Development,linear_T0.9_s3,0.533426210149483,4,Fair
Emotional Development,nonlinear_T0.3_s1,0.560718898807928,3,Fair
Emotional Development,nonlinear_T0.3_s2,0.5049904105716195,4,Fair
Emotional Development,nonlinear_T0.3_s3,0.549987472311694,3,Fair
