config,dimension,delta_mean,delta_std,delta_n
linear_T0.3,Character Consistency,-0.31333978072025614,1.1772249512555304,10
linear_T0.3,Coherence,0.7225403330758516,1.124443302794092,10
linear_T0.3,Creativity_Originality,0.4,1.2649110640673518,10
linear_T0.3,Emotional Development,0.24196356794035676,1.2695338343399394,10
linear_T0.3,Language Fluency,0.2239356743746166,1.452910035351423,10
linear_T0.3,Overall Quality,1.3464101615137756,0.9352240830544001,10
linear_T0.3,Structural Completeness,1.2153606561034027,1.0450403902858423,10
linear_T0.7,Character Consistency,1.3262060586270468,0.8440494259230413,10
linear_T0.7,Coherence,0.9797958971132712,0.9660917830792958,10
linear_T0.7,Creativity_Originality,0.34641016151377546,1.1925695879998879,10
linear_T0.7,Emotional Development,1.366940422873346,0.8466340177111831,10
linear_T0.7,Language Fluency,1.1797958971132712,0.9475592277910015,10
linear_T0.7,Overall Quality,1.044465935734187,0.9847319278346618,10
linear_T0.7,Structural Completeness,1.3926117000377294,0.8395215988514866,10
linear_T0.9,Character Consistency,-0.29282032302755095,1.4584071441976387,10
linear_T0.9,Coherence,0.4028537144645755,1.454869834580408,10
linear_T0.9,Creativity_Originality,-0.2,1.4757295747452437,10
linear_T0.9,Emotional Development,0.9972669166009697,0.8910353566648083,10
linear_T0.9,Language Fluency,0.08940410634563951,1.196040435596223,10
linear_T0.9,Overall Quality,1.636308110070411,0.685156728962067,10
linear_T0.9,Structural Completeness,0.30132949536207215,1.1299953467086288,10
nonlinear_T0.3,Character Consistency,-1.0177863742936748,1.0733323856255694,10
nonlinear_T0.3,Coherence,-0.4,1.2649110640673518,10
nonlinear_T0.3,Creativity_Originality,-1.4355727485873495,0.860493147229534,10
nonlinear_T0.3,Emotional Development,-0.43244484670913774,1.1170354886209153,10
nonlinear_T0.3,Language Fluency,0.5563035899673184,1.0874079916714228,10
nonlinear_T0.3,Overall Quality,0.5464101615137755,0.8828211945515543,10
nonlinear_T0.3,Structural Completeness,-0.6898979485566356,1.3433129942948872,10
nonlinear_T0.7,Character Consistency,1.2150532908946445,0.8853522099545571,10
nonlinear_T0.7,Coherence,1.4352653833785916,0.75211124204248,10
nonlinear_T0.7,Creativity_Originality,0.8363081100704111,1.1058374127181512,10
nonlinear_T0.7,Emotional Development,0.9061515028644148,1.0464692056040763,10
nonlinear_T0.7,Language Fluency,0.8898979485566356,1.0044797664876035,10
nonlinear_T0.7,Overall Quality,1.412130916423729,0.8741373250229564,10
nonlinear_T0.7,Structural Completeness,1.113032415511498,0.9119159130907772,10
nonlinear_T0.9,Character Consistency,-0.14641016151377548,1.0427336213612917,10
nonlinear_T0.9,Coherence,0.8266795614405122,0.947224010584856,10
nonlinear_T0.9,Creativity_Originality,1.0,1.0540925533894598,10
nonlinear_T0.9,Emotional Development,0.9841708579362521,1.101842770356288,10
nonlinear_T0.9,Language Fluency,0.4,0.8432740427115678,10
nonlinear_T0.9,Overall Quality,1.4,0.9660917830792959,10
nonlinear_T0.9,Structural Completeness,-0.28666021927974394,1.4769640272972253,10
