config,structure,temperature,dimension,mean_score,corrected_mean,std_score,n_ratings,n_deep_eval,n_shallow_eval,eval_balance,quality_score
baseline,,,Coherence,2.9,2.9,1.165,20,20,0,1.0,1.0
baseline,,,Emotional Development,2.9,2.9,0.852,20,20,0,1.0,1.0
baseline,,,Character Consistency,3.35,3.35,0.988,20,20,0,1.0,1.0
baseline,,,Creativity_Originality,3.7,3.7,0.865,20,20,0,1.0,1.0
baseline,,,Language Fluency,3.1,3.1,0.788,20,20,0,1.0,1.0
baseline,,,Structural Completeness,3.1,3.1,0.912,20,20,0,1.0,1.0
baseline,,,Overall Quality,5.3,5.3,1.38,20,20,0,1.0,1.0
linear_T0.7,linear,0.7,Coherence,3.3,3.267,0.675,10,9,1,0.9,0.91
linear_T0.7,linear,0.7,Emotional Development,3.2,3.178,0.789,10,9,1,0.9,0.91
linear_T0.7,linear,0.7,Character Consistency,3.4,3.356,0.843,10,9,1,0.9,0.91
linear_T0.7,linear,0.7,Creativity_Originality,3.7,3.511,0.823,10,9,1,0.9,0.91
linear_T0.7,linear,0.7,Language Fluency,3.6,3.644,0.699,10,9,1,0.9,0.91
linear_T0.7,linear,0.7,Structural Completeness,3.5,3.556,0.85,10,9,1,0.9,0.91
linear_T0.7,linear,0.7,Overall Quality,6.0,6.0,1.155,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Coherence,3.8,3.489,1.229,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Emotional Development,3.7,3.511,0.823,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Character Consistency,3.6,3.533,0.699,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Creativity_Originality,3.7,3.733,0.675,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Language Fluency,3.7,3.511,0.949,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Structural Completeness,3.8,3.489,1.135,10,9,1,0.9,0.91
linear_T0.3,linear,0.3,Overall Quality,6.7,6.178,1.767,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Coherence,3.7,3.622,0.823,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Emotional Development,3.6,3.644,1.174,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Character Consistency,3.5,3.444,0.707,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Creativity_Originality,3.8,3.711,1.033,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Language Fluency,3.5,3.444,0.707,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Structural Completeness,3.7,3.733,0.823,10,9,1,0.9,0.91
nonlinear_T0.9,nonlinear,0.9,Overall Quality,6.9,6.689,1.792,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Coherence,3.1,3.089,0.738,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Emotional Development,3.2,3.289,0.919,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Character Consistency,3.2,3.178,0.789,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Creativity_Originality,4.1,4.2,0.738,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Language Fluency,3.3,3.267,0.483,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Structural Completeness,3.3,3.267,0.675,10,9,1,0.9,0.91
nonlinear_T0.7,nonlinear,0.7,Overall Quality,6.0,5.778,1.333,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Coherence,3.7,3.622,0.483,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Emotional Development,3.2,3.178,0.919,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Character Consistency,3.5,3.444,0.85,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Creativity_Originality,3.3,3.156,0.823,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Language Fluency,3.4,3.356,0.699,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Structural Completeness,3.1,2.978,0.738,10,9,1,0.9,0.91
nonlinear_T0.3,nonlinear,0.3,Overall Quality,5.6,5.422,1.43,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Coherence,3.7,3.733,0.823,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Emotional Development,4.1,4.089,0.738,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Character Consistency,3.7,3.733,0.675,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Creativity_Originality,3.7,3.844,0.823,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Language Fluency,3.8,3.822,0.632,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Structural Completeness,3.8,3.822,0.422,10,9,1,0.9,0.91
linear_T0.9,linear,0.9,Overall Quality,8.9,8.578,4.067,10,9,1,0.9,0.91
