story_id,config,seed,structure,temperature,dimension,mean_score,std_score,std_error,n_ratings,n_raters,n_deep_raters,n_shallow_raters,rater_balance,reliability_weight
baseline,baseline,,,,Coherence,2.9,1.136,0.254,20,20,18,2,0.9,1.0
baseline,baseline,,,,Emotional Development,2.9,0.831,0.186,20,20,18,2,0.9,1.0
baseline,baseline,,,,Character Consistency,3.35,0.963,0.215,20,20,18,2,0.9,1.0
baseline,baseline,,,,Creativity_Originality,3.7,0.843,0.188,20,20,18,2,0.9,1.0
baseline,baseline,,,,Language Fluency,3.1,0.768,0.172,20,20,18,2,0.9,1.0
baseline,baseline,,,,Structural Completeness,3.1,0.889,0.199,20,20,18,2,0.9,1.0
baseline,baseline,,,,Overall Quality,5.3,1.345,0.301,20,20,18,2,0.9,1.0
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Coherence,3.0,0.0,0.0,3,3,3,0,1.0,0.75
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Emotional Development,2.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Character Consistency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Creativity_Originality,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Language Fluency,3.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Structural Completeness,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s1,linear_T0.7,s1,linear,0.7,Overall Quality,5.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Coherence,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Emotional Development,3.333,0.943,0.544,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Character Consistency,3.333,1.247,0.72,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Creativity_Originality,4.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Language Fluency,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Structural Completeness,3.667,0.943,0.544,3,3,3,0,1.0,0.75
linear_T0.7_s2,linear_T0.7,s2,linear,0.7,Overall Quality,6.667,1.247,0.72,3,3,3,0,1.0,0.75
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Coherence,3.0,0.0,0.0,4,4,3,1,0.75,1.0
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Emotional Development,3.5,0.5,0.25,4,4,3,1,0.75,1.0
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Character Consistency,3.25,0.433,0.217,4,4,3,1,0.75,1.0
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Creativity_Originality,3.25,0.829,0.415,4,4,3,1,0.75,1.0
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Language Fluency,3.5,0.5,0.25,4,4,3,1,0.75,1.0
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Structural Completeness,3.25,0.829,0.415,4,4,3,1,0.75,1.0
linear_T0.7_s3,linear_T0.7,s3,linear,0.7,Overall Quality,5.75,1.09,0.545,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Coherence,3.25,1.479,0.74,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Emotional Development,3.5,0.866,0.433,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Character Consistency,3.25,0.433,0.217,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Creativity_Originality,3.5,0.5,0.25,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Language Fluency,3.5,1.118,0.559,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Structural Completeness,3.0,1.225,0.612,4,4,3,1,0.75,1.0
linear_T0.3_s1,linear_T0.3,s1,linear,0.3,Overall Quality,5.75,2.165,1.083,4,4,3,1,0.75,1.0
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Coherence,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Emotional Development,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Character Consistency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Creativity_Originality,3.667,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Language Fluency,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Structural Completeness,4.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.3_s2,linear_T0.3,s2,linear,0.3,Overall Quality,7.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Coherence,4.333,0.471,0.272,3,3,3,0,1.0,0.75
linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Emotional Development,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Character Consistency,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Creativity_Originality,4.0,0.816,0.471,3,3,3,0,1.0,0.75
linear_T0.3_s3,linear_T0.3,s3,linear,0.3,Language Fluency,3.667,0.471,0.272,3,3,3,0,1.0,0.75
