folder_name,genre,structure,temperature,seed,total_words,total_sentences,distinct_1,distinct_2,distinct_avg,distinct_score
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s1,sciencefiction,linear,0.3,1,9384,527,0.4477189477189477,0.8582222222222222,0.6529705849705849,0.2557670883449792
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2,sciencefiction,linear,0.3,2,5033,317,0.4677322677322677,0.8576,0.6626661338661339,0.46858590746753637
thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s3,sciencefiction,linear,0.3,3,4262,274,0.4907592407592408,0.88775,0.6892546203796204,1.0
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s1,sciencefiction,linear,0.7,1,6928,424,0.462844847460232,0.8693846153846153,0.6661147314224236,0.5442831647827393
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s2,sciencefiction,linear,0.7,2,9475,560,0.45948495948495943,0.8639444444444444,0.661714701964702,0.44770182798739067
thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,sciencefiction,linear,0.7,3,4027,230,0.48001998001998003,0.884375,0.6821974900099901,0.8973022385569268
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s1,sciencefiction,linear,0.9,1,2903,189,0.4871128871128871,0.8858,0.6864564435564435,0.9907869369704584
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2,sciencefiction,linear,0.9,2,7132,452,0.46225203368060513,0.8567857142857144,0.6595188739831598,0.39950305935010355
thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3,sciencefiction,linear,0.9,3,6220,345,0.4597069597069597,0.8584166666666665,0.6590618131868131,0.3894705031747263
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s1,sciencefiction,nonlinear,0.3,1,7885,444,0.4456210456210456,0.8275333333333333,0.6365771894771894,0.0
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2,sciencefiction,nonlinear,0.3,2,6867,381,0.46576500422654266,0.8505384615384615,0.6581517328825021,0.36949409773788805
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3,sciencefiction,nonlinear,0.3,3,4101,244,0.4475524475524475,0.86025,0.6539012237762237,0.2761947561108138
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s1,sciencefiction,nonlinear,0.7,1,10596,625,0.44122544122544116,0.8444285714285714,0.6428270063270063,0.0331139459742345
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2,sciencefiction,nonlinear,0.7,2,2777,156,0.47352647352647353,0.8732000000000001,0.6733632367632368,0.7033889940301785
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3,sciencefiction,nonlinear,0.7,3,9276,536,0.46386946386946387,0.8655555555555556,0.6647125097125097,0.513504178294529
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s1,sciencefiction,nonlinear,0.9,1,14189,815,0.4398101898101898,0.8444999999999999,0.6421550949050949,0.01836538486576746
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2,sciencefiction,nonlinear,0.9,2,7013,404,0.4591123162551734,0.853642857142857,0.6563775866990152,0.33055131071385596
thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3,sciencefiction,nonlinear,0.9,3,6228,386,0.45412920412920416,0.8476666666666667,0.6508979353979354,0.21027210510492342
