folder_name,genre,structure,temperature,seed,total_words,total_sentences,distinct_1,distinct_2,distinct_avg,distinct_score
thelittleredridinghood_romanticrewrite_linear_T0.3_s1,romantic,linear,0.3,1,12914,686,0.4061938061938063,0.82172,0.6139569030969032,0.208278983710273
thelittleredridinghood_romanticrewrite_linear_T0.3_s2,romantic,linear,0.3,2,9663,537,0.41101004258899,0.8176842105263158,0.6143471265576529,0.2194614544678463
thelittleredridinghood_romanticrewrite_linear_T0.3_s3,romantic,linear,0.3,3,14244,706,0.4099471956614814,0.8262857142857143,0.6181164549735978,0.3274775248138376
thelittleredridinghood_romanticrewrite_linear_T0.7_s1,romantic,linear,0.7,1,11019,579,0.42416674234856067,0.8232272727272728,0.6236970075379167,0.48739708921344477
thelittleredridinghood_romanticrewrite_linear_T0.7_s2,romantic,linear,0.7,2,16910,905,0.4051403142312234,0.8164848484848485,0.610812581358036,0.11817346870680698
thelittleredridinghood_romanticrewrite_linear_T0.7_s3,romantic,linear,0.7,3,10487,562,0.41803196803196807,0.8404,0.6292159840159841,0.6455520934234881
thelittleredridinghood_romanticrewrite_linear_T0.9_s1,romantic,linear,0.9,1,10009,515,0.42467532467532465,0.8310000000000001,0.6278376623376624,0.6060541046742947
thelittleredridinghood_romanticrewrite_linear_T0.9_s2,romantic,linear,0.9,2,17716,936,0.4117311260168403,0.8240285714285714,0.6178798487227058,0.32069719828868415
thelittleredridinghood_romanticrewrite_linear_T0.9_s3,romantic,linear,0.9,3,5465,293,0.4512487512487513,0.8615,0.6563743756243756,1.0
thelittleredridinghood_romanticrewrite_nonlinear_T0.3_s1,romantic,nonlinear,0.3,1,10236,560,0.4114885114885115,0.8233,0.6173942557442558,0.3067817630886356
thelittleredridinghood_romanticrewrite_nonlinear_T0.3_s2,romantic,nonlinear,0.3,2,6511,340,0.4348728194882041,0.8430769230769231,0.6389748712825636,0.9252084505152057
thelittleredridinghood_romanticrewrite_nonlinear_T0.3_s3,romantic,nonlinear,0.3,3,12320,630,0.41366966366966373,0.816375,0.6150223318348318,0.23881053013056164
thelittleredridinghood_romanticrewrite_nonlinear_T0.7_s1,romantic,nonlinear,0.7,1,9092,470,0.41708291708291706,0.8314444444444444,0.6242636807636808,0.5036360072016985
thelittleredridinghood_romanticrewrite_nonlinear_T0.7_s2,romantic,nonlinear,0.7,2,8394,468,0.4260114885114885,0.849625,0.6378182442557443,0.8920634728145379
thelittleredridinghood_romanticrewrite_nonlinear_T0.7_s3,romantic,nonlinear,0.7,3,14806,838,0.41754796927210713,0.8506551724137933,0.6341015708429503,0.7855563149051373
thelittleredridinghood_romanticrewrite_nonlinear_T0.9_s1,romantic,nonlinear,0.9,1,16748,902,0.39427239427239424,0.812060606060606,0.6031665001665001,0.0
thelittleredridinghood_romanticrewrite_nonlinear_T0.9_s2,romantic,nonlinear,0.9,2,9176,508,0.4294039294039294,0.8432777777777779,0.6363408535908537,0.8497265054884021
thelittleredridinghood_romanticrewrite_nonlinear_T0.9_s3,romantic,nonlinear,0.9,3,22124,1155,0.4019616746889474,0.8126590909090908,0.6073103827990192,0.01781242711750438
