User_id,Group_id,Story 1,Story 2,Story 3,Story 4,Gender,Age,Edu,Fiction Reading Frequency,What is your English proficiency level?,How familiar are you with science fiction as a genre?,Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?",Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?",Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?",Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?","Favorite Story Among the 4 stories you just read, which one do you like most?",Most Coherent Story Which story do you think is the most coherent?,Most Creative Story Which story do you think is the most creative?,"Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 1]","Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 2]","Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 3]","Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 4:]",Most Engaging Story Which story most motivated you to continue reading?,"Content Comprehension Check Please recall carefully: In Story 3, who was the first character Little Red Riding Hood encountered?","Attention Check To ensure you read the instructions carefully, please select ""Quite satisfied"" from the options below","Understanding of Coherence What do you think is the most important criterion for judging story ""coherence""?","Understanding of Emotional Development What is the most important feature of ""emotional development"" in stories?",Best Story Analysis Please describe specifically what made your favorite story stand out. What were its strongest qualities?,"Areas for Improvement Across all the stories you read, what aspects do you think need the most improvement? Please be specific and provide examples if possible.",Science Fiction Story Features What do you think are the most important features of a high-quality science fiction story? (Select all that apply),Reading Load Assessment Do you think the number of stories in this experiment was appropriate?,Evaluation Difficulty How would you rate the difficulty of evaluating these stories?,Time Investment Approximately how much time did you spend on this entire survey?,Overall Experience How would you describe your overall experience with this survey?,"Additional Comments Do you have any other suggestions, comments, or feedback about this experiment or the stories you read?"
1,A,Sci baseline,linear_T0.3_s1,linear_T0.3_s2,linear_T0.3_s3,Female,18-30 years old,Master's/PhD degree,Occasionally (1-2 books/month),Advanced (C1),Somewhat familiar - I occasionally read sci-fi,3,3,3,3,3,3,6,4,4,3,3,3,4,7,4,3,4,3,4,4,8,4,4,3,4,4,4,8,Story 3,Story 4,Story 3,4,3,2,1,Story 3,Other,Quite satisfied,The story plot is logically consistent throughout without contradictions,Different characters have emotional interactions,"The characters were vivid and well-developed, with clear personalities that made them feel real and memorable.","In some stories, certain descriptive parts could be slightly more concise. A better balance between detail and pacing would enhance the overall reading experience.",Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Accurate scientific or technological details,Just right,Moderate,45-60 minutes,Very positive,
2,G,Sci baseline,linear_T0.3_s1,nonlinear_T0.7_s2,linear_T0.9_s3,Female,30-50 years old,Master's/PhD degree,Rarely read,Fluent (C2),Somewhat familiar - I occasionally read sci-fi,2,3,3,5,3,2,4,1,2,3,4,2,1,5,3,4,3,5,3,3,5,4,4,4,5,4,4,6,Story 4,Story 4,Story 4,3,4,2,1,Story 4,Other,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,background info is also complete， the emotions is driving the story.,"At times the emotional description feels heavy, which slows the pace. Since the sci-fi setting is important, the functions of the tech need clearer, more consistent explanation—right now only some devices are defined while others remain vague.",Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Other,Just right,Moderate,60-75 minutes,Somewhat positive,
3,A,Sci baseline,linear_T0.3_s1,linear_T0.3_s2,linear_T0.3_s3,Male,18-30 years old,Master's/PhD degree,Occasionally (1-2 books/month),Upper-intermediate (B2),Moderately familiar - I know the basic concepts,5,4,5,4,4,4,6,5,4,3,4,5,4,6,5,4,4,4,5,5,7,5,5,5,5,4,5,7,Story 1,Story 2,Story 4,2,4,3,1,Story 4,Robot Wolf,Quite satisfied,The story language is fluent and easy to understand,Emotional expressions are very intense and profound,,,Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Accurate scientific or technological details,Slightly too many,Very difficult,60-75 minutes,Very positive,"The plot should be easier to follow, and the structure smoother."
4,A,Sci baseline,linear_T0.3_s1,linear_T0.3_s2,linear_T0.3_s3,Male,18-30 years old,Bachelor's degree,Frequently (3-5 books/month),Intermediate (B1),Somewhat familiar - I occasionally read sci-fi,3,4,4,3,4,3,5,3,4,4,3,4,3,6,3,4,3,4,3,4,6,4,3,4,3,3,4,8,Story 3,Story 4,Story 1,4,3,2,1,Story 1,Robot Wolf,Quite satisfied,The story language is fluent and easy to understand,Emotions change and evolve as the plot progresses,,,Clear and logical plot development;Fluent and engaging writing style;Rich imagination and creative concepts,Just right,Moderate,45-60 minutes,Somewhat positive,The language structure should be more complete.
5,B,Sci baseline,linear_T0.7_s1,linear_T0.7_s2,linear_T0.7_s3,Female,18-30 years old,Master's/PhD degree,Frequently (3-5 books/month),Fluent (C2),Somewhat familiar - I occasionally read sci-fi,2,2,2,3,2,2,4,3,3,4,3,3,4,7,4,4,3,4,4,3,7,3,4,3,4,3,3,6,Story 3,Story 3,Story 4,4,3,1,2,Story 3,Other,Quite satisfied,The story language is fluent and easy to understand,Emotions change and evolve as the plot progresses,,,Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Complete and well-structured narrative,Just right,Difficult,45-60 minutes,Somewhat positive,
6,B,Sci baseline,linear_T0.7_s1,linear_T0.7_s2,linear_T0.7_s3,Male,18-30 years old,Bachelor's degree,Frequently (3-5 books/month),Fluent (C2),Somewhat familiar - I occasionally read sci-fi,3,2,2,4,3,2,5,3,2,3,4,3,3,6,3,2,2,4,3,3,6,3,3,3,3,3,2,6,Story 2,Story 2,Story 2,3,1,2,4,Story 4,Other,Quite satisfied,The story has a complete structure with beginning and ending,Rich emotional vocabulary is used for description,Environment description is pretty remarkable ,"Description of the character, especially for the emotional aspect needs to be improved. Specifically, it will need more whether environmental descriptions or something else to enforce the plot or character to",Novel and scientifically plausible settings;Rich imagination and creative concepts,Just right,Moderate,30-45 minutes,Somewhat positive,
7,B,Sci baseline,linear_T0.7_s1,linear_T0.7_s2,linear_T0.7_s3,Male,30-50 years old,Bachelor's degree,Heavy reader (5+ books/month),Intermediate (B1),Very familiar - I regularly read sci-fi,1,2,3,4,3,2,4,3,3,4,4,4,4,6,5,4,5,5,5,5,8,3,4,4,4,4,4,7,Story 3,Story 3,Story 2,4,3,1,2,Story 3,AI Assistant,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,,,Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Fluent and engaging writing style;Complete and well-structured narrative;Thought-provoking themes and ideas;Accurate scientific or technological details,Too many stories,Difficult,60-75 minutes,Very positive,
8,C,Sci baseline,linear_T0.9_s1,linear_T0.9_s2,linear_T0.9_s3,Male,30-50 years old,Bachelor's degree,Occasionally (1-2 books/month),Intermediate (B1),Not very familiar - Limited exposure to sci-fi,3,3,4,5,3,4,6,4,5,3,3,5,3,8,2,3,4,3,3,4,7,4,5,3,3,4,4,8,Story 2,Story 4,Story 4,4,2,3,1,Story 4,Robot Wolf,Quite satisfied,All elements in the story are interconnected,Emotions change and evolve as the plot progresses,,,Complete and well-structured narrative;Thought-provoking themes and ideas;Accurate scientific or technological details,Slightly too few,Moderate,30-45 minutes,Neutral,I hope it can be fresher and have a stronger sense of technology.
9,C,Sci baseline,linear_T0.9_s1,linear_T0.9_s2,linear_T0.9_s3,Male,30-50 years old,High School,Occasionally (1-2 books/month),Native speaker,Not very familiar - Limited exposure to sci-fi,5,4,4,4,4,4,5,4,4,4,4,4,4,8,4,4,4,4,4,4,8,5,5,5,5,4,4,9,Story 4,Story 4,Story 3,3,4,2,1,Story 4,Robot Wolf,Quite satisfied,The story has a complete structure with beginning and ending,Different characters have emotional interactions,,,Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Complete and well-structured narrative,Just right,Moderate,30-45 minutes,Very positive,I’d like to see a continuation and read more.
10,C,Sci baseline,linear_T0.9_s1,linear_T0.9_s2,linear_T0.9_s3,Male,Under 18 years old,Master's/PhD degree,Frequently (3-5 books/month),Upper-intermediate (B2),Very familiar - I regularly read sci-fi,2,3,4,3,4,3,6,3,4,4,3,4,3,7,3,4,3,4,3,4,6,4,3,3,3,3,4,7,Story 4,Story 4,Story 3,3,4,2,1,Story 2,Robot Wolf,Quite satisfied,The story language is fluent and easy to understand,Emotions change and evolve as the plot progresses,,,Clear and logical plot development;Fluent and engaging writing style;Rich imagination and creative concepts,Just right,Moderate,45-60 minutes,Somewhat positive,The language structure could be made more complete.
