word,happiness_average,happiness_rank,happiness_standard_deviation
laughter,8.5,0,0.9313
happiness,8.44,1,0.9723
love,8.42,2,1.1082
happy,8.3,3,0.9949
laughed,8.26,4,1.1572
laugh,8.22,5,1.3746
laughing,8.2,6,1.1066
excellent,8.18,7,1.1008
laughs,8.18,8,1.1551
joy,8.16,9,1.0568
successful,8.16,10,1.0759
win,8.12,11,1.0812
rainbow,8.1,12,0.9949
smile,8.1,13,1.0152
won,8.1,14,1.2164
pleasure,8.08,15,0.9655
smiled,8.08,16,1.066
rainbows,8.06,17,1.3603
winning,8.04,18,1.049
celebration,8.02,19,1.5318
enjoyed,8.02,20,1.5318
healthy,8.02,21,1.0593
music,8.02,22,1.1156
celebrating,8.0,23,1.1429
congratulations,8.0,24,1.6288
weekend,8.0,25,1.2936
celebrate,7.98,26,1.1516
comedy,7.98,27,1.1516
jokes,7.98,28,0.9792
rich,7.98,29,1.3169
victory,7.98,30,1.0784
christmas,7.96,31,1.293
free,7.96,32,1.261
friendship,7.96,33,1.1241
fun,7.96,34,1.3087
holidays,7.96,35,1.261
loved,7.96,36,1.1599
loves,7.96,37,1.3696
loving,7.96,38,1.0093
beach,7.94,39,1.0577
hahaha,7.94,40,1.5572
kissing,7.94,41,1.1323
sunshine,7.94,42,1.1678
beautiful,7.92,43,1.1753
delicious,7.92,44,1.2591
friends,7.92,45,1.1925
funny,7.92,46,1.0467
outstanding,7.92,47,1.14
paradise,7.92,48,1.3974
sweetest,7.92,49,1.2911
vacation,7.92,50,1.9042
butterflies,7.92,51,1.077
freedom,7.9,52,1.4178
flower,7.88,53,1.1718
great,7.88,54,1.2061
sunlight,7.88,55,1.4934
sweetheart,7.88,56,1.272
sweetness,7.88,57,1.1891
award,7.86,58,1.5651
chocolate,7.86,59,1.0304
hahahaha,7.86,60,1.7025
heaven,7.86,61,1.578
peace,7.86,62,1.3403
splendid,7.86,63,1.457
success,7.86,64,1.6414
enjoying,7.84,65,1.5032
kissed,7.84,66,1.5048
attraction,7.82,67,1.024
celebrated,7.8,68,1.178
hero,7.8,69,1.3997
hugs,7.8,70,1.4428
positive,7.8,71,1.2454
sun,7.8,72,1.3553
birthday,7.78,73,1.9091
blessed,7.78,74,1.2824
fantastic,7.78,75,1.0934
winner,7.78,76,1.6938
delight,7.78,77,1.4181
beauty,7.76,78,1.6107
butterfly,7.76,79,1.3334
entertainment,7.76,80,1.2216
funniest,7.76,81,1.5592
honesty,7.76,82,1.2707
sky,7.76,83,1.0797
smiles,7.76,84,1.7907
succeed,7.76,85,1.6971
wonderful,7.76,86,1.7907
glorious,7.74,87,1.3969
kisses,7.74,88,1.192
promotion,7.74,89,1.3822
family,7.72,90,1.3099
gift,7.72,91,1.3407
humor,7.72,92,1.0887
romantic,7.72,93,1.1959
cupcakes,7.7,94,1.233
festival,7.7,95,1.0738
hahahahaha,7.7,96,1.359
honour,7.7,97,1.2495
relax,7.7,98,1.0738
weekends,7.7,99,1.7871
angel,7.68,100,1.2362
b-day,7.68,101,1.5312
bonus,7.68,102,1.463
brilliant,7.68,103,1.6218
diamonds,7.68,104,1.4769
holiday,7.68,105,1.3005
