source_folder,experiment_folder,data_type,genre,method,temperature,seed,pseudo_ppl,err_per_100w,error_count,word_count,char_count,analysis_timestamp,model_name,subsample_rate,file_name,description
simple_baseline_results,simple_baseline_s1.json,baseline,baseline,baseline,,,2.321079077069624,6.788710907704043,178,2622,16634,2025-09-13T20:50:26.315476,roberta-large,4,baseline_s1.md,Simple baseline story s1
horror_test_results,thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s3,experiment,horror,linear,0.9,3.0,2.0242798851781707,0.12350761630300536,9,7129,42701,2025-09-11T06:52:03.660403,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s2,experiment,horror,linear,0.9,2.0,2.224323357863916,0.2640612622128334,20,7408,44205,2025-09-11T06:51:51.269645,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.9_s1,experiment,horror,nonlinear,0.9,1.0,1.897553356866042,0.2055800293685756,14,6700,40392,2025-09-11T06:53:40.159468,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_linear_T0.3_s3,experiment,horror,linear,0.3,3.0,2.197009525031475,0.1531640467553406,19,12155,73508,2025-09-11T06:50:40.638738,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.7_s1,experiment,horror,nonlinear,0.7,1.0,2.2452703111043673,0.2574186628530568,36,13660,81556,2025-09-11T06:53:00.381011,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_linear_T0.7_s2,experiment,horror,linear,0.7,2.0,2.134498811404967,0.18656716417910446,8,4198,25318,2025-09-11T06:51:08.136382,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_linear_T0.7_s3,experiment,horror,linear,0.7,3.0,1.8927958444639534,0.15270856775438033,19,12110,72314,2025-09-11T06:51:23.093686,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.3_s1,experiment,horror,nonlinear,0.3,1.0,2.179942056886072,0.05535347145342401,7,12322,73499,2025-09-11T06:52:18.975450,roberta-large,4,,
horror_test_results,thelittleredridinghood_horror-suspenserewrite_linear_T0.3_s2,experiment,horror,linear,0.3,2.0,2.2756293108098,0.2280212819863187,27,11594,70460,2025-09-11T06:50:25.806169,roberta-large,4,,
